Red,Tipo ,met,Lugar,Medida
Facebook ,Alcance:,45.6,EEUU,%
Otra,Alcance:,0.50,EEUU,%
Digg,Alcance:,3.90,EEUU,%
Docstoc,Alcance:,0.80,EEUU,%
Flickr,Alcance:,8.30,EEUU,%
Frienfeed,Alcance:,0.30,EEUU,%
Linkedin,Alcance:,6.10,EEUU,%
Mixx,Alcance:,0.20,EEUU,%
MySpace,Alcance:,26.10,EEUU,%
Ning ,Alcance:,2.40,EEUU,%
Qik ,Alcance:,0.10,EEUU,%
Scribd,Alcance:,1.80,EEUU,%
Twitter,Alcance:,10.10,EEUU,%
UstreamTV,Alcance:,0.60,EEUU,%
Yelp,Alcance:,4.20,EEUU,%
Facebook ,Promedio de visitas por visitante:,28,EEUU,
Otra,Promedio de visitas por visitante:,6,EEUU,
Digg,Promedio de visitas por visitante:,5.9,EEUU,
Docstoc,Promedio de visitas por visitante:,2.1,EEUU,
Flickr,Promedio de visitas por visitante:,4.9,EEUU,
Frienfeed,Promedio de visitas por visitante:,5.1,EEUU,
Linkedin,Promedio de visitas por visitante:,6,EEUU,
Mixx,Promedio de visitas por visitante:,2.7,EEUU,
MySpace,Promedio de visitas por visitante:,19,EEUU,
Ning ,Promedio de visitas por visitante:,5,EEUU,
Scribd,Promedio de visitas por visitante:,2.5,EEUU,
Twitter,Promedio de visitas por visitante:,11,EEUU,
UstreamTV,Promedio de visitas por visitante:,4.1,EEUU,
Yelp,Promedio de visitas por visitante:,3.4,EEUU,
Facebook ,Tiempo promedio en el sitio:,00:20,EEUU,Minutos 
Otra,Tiempo promedio en el sitio:,00:06,EEUU,Minutos 
Digg,Tiempo promedio en el sitio:,00:07,EEUU,Minutos 
Docstoc,Tiempo promedio en el sitio:,00:04,EEUU,Minutos 
Flickr,Tiempo promedio en el sitio:,00:08,EEUU,Minutos 
Frienfeed,Tiempo promedio en el sitio:,00:08,EEUU,Minutos 
Linkedin,Tiempo promedio en el sitio:,00:09,EEUU,Minutos 
Mixx,Tiempo promedio en el sitio:,00:05,EEUU,Minutos 
MySpace,Tiempo promedio en el sitio:,00:11,EEUU,Minutos 
